hour,avg_steps,median_steps,avg_calories
1,305.24217365623156,17,94.18800931315484
2,305.6335514574658,11,94.01288056206089
3,225.53910447761194,5,88.32859680284191
4,276.9251497005988,7,92.14328004736531
5,321.4523241954708,12.5,104.54151838671412
6,418.8062610750148,129,107.63421828908555
7,476.83704572098475,190,110.36321031048624
8,422.6864705882353,176,105.11651053864169
9,399.0544177881802,134,103.11338398597312
10,386.81144191476943,134,101.21258008153757
11,314.75235849056605,84.5,95.41407624633432
12,317.37077997671713,55,95.95884057971014
