id,sleep_records,first_sleep,last_sleep,date_range,sleep_tracking_rate
5553957443,31,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,100
6962181067,31,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,100
8378563200,31,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,100
2026352035,28,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,90.3
3977333714,28,2016-04-12T12:00:00Z,2016-05-10T12:00:00Z,29,96.6
4445114986,28,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,90.3
4702921684,27,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,87.1
4319703577,26,2016-04-14T12:00:00Z,2016-05-12T12:00:00Z,29,89.7
5577150313,26,2016-04-12T12:00:00Z,2016-05-11T12:00:00Z,30,86.7
1503960366,25,2016-04-12T12:00:00Z,2016-05-11T12:00:00Z,30,83.3
7086361926,24,2016-04-12T12:00:00Z,2016-05-12T12:00:00Z,31,77.4
4388161847,23,2016-04-15T12:00:00Z,2016-05-11T12:00:00Z,27,85.2
6117666160,18,2016-04-16T12:00:00Z,2016-05-09T12:00:00Z,24,75
2347167796,15,2016-04-13T12:00:00Z,2016-04-29T12:00:00Z,17,88.2
8792009665,15,2016-04-12T12:00:00Z,2016-05-04T12:00:00Z,23,65.2
4020332650,8,2016-04-12T12:00:00Z,2016-05-10T12:00:00Z,29,27.6
1927972279,5,2016-04-12T12:00:00Z,2016-04-28T12:00:00Z,17,29.4
4558609924,5,2016-04-21T12:00:00Z,2016-05-08T12:00:00Z,18,27.8
1644430081,4,2016-04-29T12:00:00Z,2016-05-08T12:00:00Z,10,40
1844505072,3,2016-04-15T12:00:00Z,2016-05-01T12:00:00Z,17,17.6
6775888955,3,2016-04-13T12:00:00Z,2016-04-15T12:00:00Z,3,100
8053475328,3,2016-04-20T12:00:00Z,2016-05-07T12:00:00Z,18,16.7
7007744171,2,2016-04-16T12:00:00Z,2016-05-01T12:00:00Z,16,12.5
2320127002,1,2016-04-23T12:00:00Z,2016-04-23T12:00:00Z,1,100
