id,days_tracked,engagement_level,avg_daily_steps,avg_calories,avg_distance,activity_level,avg_sleep_hours,sleep_pattern
1503960366,31,Everyday User (25-31 days),12116.741935483871,1816.4193548387098,7.809677419354839,Active,6.004666666666667,Normal sleeper
1624580081,31,Everyday User (25-31 days),5743.903225806452,1483.3548387096773,3.9148387096774195,Low Active,NA,NA
1844505072,31,Everyday User (25-31 days),2580.064516129032,1573.483870967742,1.7061290322580644,Sedentary,10.866666666666667,Over-sleeper
1927972279,31,Everyday User (25-31 days),916.1290322580645,2172.8064516129034,0.6345161290322581,Sedentary,6.95,Normal sleeper
2022484408,31,Everyday User (25-31 days),11370.645161290322,2509.967741935484,8.084193548387097,Active,NA,NA
2026352035,31,Everyday User (25-31 days),5566.870967741936,1540.6451612903227,3.4548387096774196,Low Active,8.436309523809523,Over-sleeper
2320127002,31,Everyday User (25-31 days),4716.870967741936,1724.1612903225807,3.1877419354838707,Sedentary,1.0166666666666666,Under-sleeper
2873212765,31,Everyday User (25-31 days),7555.774193548387,1916.967741935484,5.101612903225806,Somewhat Active,NA,NA
4020332650,31,Everyday User (25-31 days),2267.2258064516127,2385.8064516129034,1.6261290322580646,Sedentary,5.822916666666667,Under-sleeper
4319703577,31,Everyday User (25-31 days),7268.8387096774195,2037.6774193548388,4.892258064516129,Low Active,7.944230769230769,Normal sleeper
4388161847,31,Everyday User (25-31 days),10813.935483870968,3093.8709677419356,8.393225806451612,Active,6.6695652173913045,Normal sleeper
4445114986,31,Everyday User (25-31 days),4796.548387096775,2186.1935483870966,3.245806451612903,Sedentary,6.419642857142857,Normal sleeper
4558609924,31,Everyday User (25-31 days),7685.129032258064,2033.258064516129,5.080645161290323,Somewhat Active,2.1266666666666665,Under-sleeper
4702921684,31,Everyday User (25-31 days),8572.064516129032,2965.548387096774,6.955161290322581,Somewhat Active,6.958024691358025,Normal sleeper
5553957443,31,Everyday User (25-31 days),8612.58064516129,1875.6774193548388,5.639677419354839,Somewhat Active,7.724731182795699,Normal sleeper
6962181067,31,Everyday User (25-31 days),9794.806451612903,1982.032258064516,6.585806451612903,Somewhat Active,7.466666666666667,Normal sleeper
7086361926,31,Everyday User (25-31 days),9371.774193548386,2566.3548387096776,6.388064516129032,Somewhat Active,7.552083333333333,Normal sleeper
8053475328,31,Everyday User (25-31 days),14763.290322580646,2945.8064516129034,11.47516129032258,Highly Active,4.95,Under-sleeper
8378563200,31,Everyday User (25-31 days),8717.709677419354,3436.5806451612902,6.913548387096775,Somewhat Active,7.418817204301075,Normal sleeper
8583815059,31,Everyday User (25-31 days),7198.5161290322585,2732.032258064516,5.615483870967742,Low Active,NA,NA
8877689391,31,Everyday User (25-31 days),16040.032258064517,3420.2580645161293,13.212903225806452,Highly Active,NA,NA
1644430081,30,Everyday User (25-31 days),7282.966666666666,2811.3,5.295333333333334,Low Active,4.9,Under-sleeper
3977333714,30,Everyday User (25-31 days),10984.566666666668,1513.6666666666667,7.517,Active,4.894047619047619,Under-sleeper
5577150313,30,Everyday User (25-31 days),8304.433333333332,3359.633333333333,6.213333333333333,Somewhat Active,7.2,Normal sleeper
6290855005,29,Everyday User (25-31 days),5649.551724137931,2599.6206896551726,4.272413793103448,Low Active,NA,NA
8792009665,29,Everyday User (25-31 days),1853.7241379310344,1962.3103448275863,1.186551724137931,Sedentary,7.261111111111111,Normal sleeper
6117666160,28,Everyday User (25-31 days),7046.714285714285,2261.1428571428573,5.342142857142857,Low Active,7.979629629629629,Normal sleeper
6775888955,26,Everyday User (25-31 days),2519.6923076923076,2131.769230769231,1.8134615384615385,Sedentary,5.8277777777777775,Under-sleeper
7007744171,26,Everyday User (25-31 days),11323.423076923076,2544,8.015384615384615,Active,1.1416666666666666,Under-sleeper
3372868164,20,Moderate User (11-20 days),6861.65,1933.1,4.707,Low Active,NA,NA
8253242879,19,Moderate User (11-20 days),6482.1578947368425,1788,4.667368421052632,Low Active,NA,NA
2347167796,18,Moderate User (11-20 days),9519.666666666666,2043.4444444444443,6.355555555555555,Somewhat Active,7.446666666666666,Normal sleeper
4057192912,4,Light User (1-10 days),3838,1973.75,2.8625,Sedentary,NA,NA
