id,avg_sleep,sleep_sd,avg_efficiency,sleep_records,consistency_rating
1503960366,6.004666666666667,1.6746165951467042,0.9363853096202286,25,Moderate
1644430081,4.9,5.579210749971057,0.8820403876004858,4,Inconsistent
1844505072,10.866666666666667,1.1060440015358035,0.678459937565036,3,Consistent
1927972279,6.95,3.6539172282785923,0.947008102905974,5,Inconsistent
2026352035,8.436309523809523,0.7044253644370824,0.9413413817950905,28,Very Consistent
2320127002,1.0166666666666666,NA,0.884057971014493,1,Inconsistent
2347167796,7.446666666666666,0.716367600944194,0.9103703669407988,15,Very Consistent
3977333714,4.894047619047619,1.0650278139851663,0.6336690783788376,28,Consistent
4020332650,5.822916666666667,2.3549666782261602,0.9303575827388794,8,Inconsistent
4319703577,7.944230769230769,1.9047422824080853,0.9474974886759654,26,Moderate
4388161847,6.6695652173913045,2.4263476530960424,0.9472358254962457,23,Inconsistent
4445114986,6.419642857142857,1.5924206640924288,0.9253888737881237,28,Moderate
4558609924,2.1266666666666665,0.43069710934716066,0.9071276554333296,5,Very Consistent
4702921684,6.958024691358025,1.1087489135115496,0.9524705768018095,27,Consistent
5553957443,7.724731182795699,1.8048128607602483,0.9152072640377417,31,Moderate
5577150313,7.2,1.645687968263999,0.9392114958308438,26,Moderate
6117666160,7.979629629629629,1.4017910526930581,0.9401978380765398,18,Consistent
6775888955,5.8277777777777775,1.6764159300037595,0.9420280048358867,3,Moderate
6962181067,7.466666666666667,1.041677777718519,0.9614872484018995,31,Consistent
7007744171,1.1416666666666666,0.24748737341529162,0.957117153138744,2,Very Consistent
7086361926,7.552083333333333,1.1557597047695867,0.9713149988886258,24,Consistent
8053475328,4.95,3.468228814699386,0.9848879098008453,3,Inconsistent
8378563200,7.418817204301075,1.2795958703426051,0.9175083503736388,31,Consistent
8792009665,7.261111111111111,1.0910106474293606,0.9603924591769255,15,Consistent
